Item,Date,Qty,Comment,Type
YT431242,9/15/2021,1,CAT 51271.00,FC
YT431242,9/29/2021,1,CAT 51271.00,FC
YT431242,9/8/2021,1,CAT 51271.00,FC
YT431254,10/25/2021,1,CAT 34706.15,FC
YT431254,11/22/2021,1,CAT 34706.15,FC
YT431254,4/26/2021,1,CAT 34706.15,FC
YT431254,4/27/2021,1,CAT 34706.15,FC
YT431254,5/24/2021,2,CAT 34706.15,FC
YT431254,5/3/2021,1,CAT 34706.15,FC
YT431254,6/24/2021,1,CAT 34706.15,FC
YT431254,7/26/2021,1,CAT 34706.15,FC
YT431254,8/25/2021,1,CAT 34706.15,FC
YT431254,9/24/2021,1,CAT 34706.15,FC
YT431331,10/12/2021,1,CAT 505.00,FC
YT431331,11/9/2021,1,CAT 505.00,FC
YT431331,4/13/2021,2,CAT 505.00,FC
YT431331,5/11/2021,1,CAT 505.00,FC
YT431331,6/11/2021,1,CAT 505.00,FC
YT431331,7/13/2021,1,CAT 505.00,FC
YT431331,8/12/2021,1,CAT 505.00,FC
YT431331,9/13/2021,1,CAT 505.00,FC
YT433025-AO-816,5/11/2021,1,CAT 695.00,FC
YT433026-AO-816,5/11/2021,1,CAT 695.00,FC
YT433029-AO-816,7/13/2021,2,CAT 35.00,FC
YT435053,10/25/2021,1,CAT 27142.52,FC
YT435053,11/22/2021,1,CAT 27142.52,FC
YT435053,4/26/2021,1,CAT 27142.52,FC
YT435053,5/24/2021,1,CAT 27142.52,FC
YT435053,6/24/2021,1,CAT 27142.52,FC
YT435053,7/26/2021,1,CAT 27142.52,FC
YT435053,8/25/2021,1,CAT 27142.52,FC
YT435053,9/24/2021,1,CAT 27142.52,FC
YT435054,10/25/2021,1,CAT 31944.15,FC
YT435054,11/22/2021,1,CAT 31944.15,FC
YT435054,5/24/2021,1,CAT 31944.15,FC
YT435054,6/24/2021,1,CAT 31944.15,FC
YT435054,7/26/2021,1,CAT 31944.15,FC
YT435054,8/25/2021,1,CAT 31944.15,FC
YT435054,9/24/2021,1,CAT 31944.15,FC
YT435074,11/8/2021,1,CPG 64371.00,FC
YT435074,5/3/2021,1,CPG 64371.00,FC
YT435074,6/7/2021,1,CPG 64371.00,FC
YT435074,8/2/2021,1,CPG 64371.00,FC
YT435074,8/30/2021,1,CPG 64371.00,FC
YT435074,9/27/2021,1,CPG 64371.00,FC
YT435102-815,10/11/2021,3,CAT 21157.78,FC
YT435102-815,10/18/2021,1,CAT 21157.78,FC
YT435102-815,10/25/2021,3,CAT 21157.78,FC
