Item,Date,Current,Comment,Qty,Type
YT443658-803,10/26/2021,2.0,CAT 12297.00,,
YT443658-803,11/2/2021,12.0,CAT 12297.00,,
YT443658-803,11/16/2021,1.0,CAT 12297.00,,
YT443658-815,5/5/2021,4.0,CAT 12226.00,,
YT443658-815,5/13/2021,2.0,CAT 12226.00,,
YT443658-815,5/21/2021,2.0,CAT 12226.00,,
YT443658-815,6/7/2021,4.0,CAT 12226.00,,
YT443658-815,6/8/2021,2.0,CAT 12226.00,,
YT443658-815,6/15/2021,2.0,CAT 12226.00,,
YT443658-815,6/22/2021,2.0,CAT 12226.00,,
YT443658-815,6/29/2021,2.0,CAT 12226.00,,
YT443658-815,7/7/2021,4.0,CAT 12226.00,,
YT443658-815,7/15/2021,2.0,CAT 12226.00,,
YT443658-815,8/6/2021,4.0,CAT 12226.00,,
YT443658-815,8/16/2021,2.0,CAT 12226.00,,
YT443658-815,8/23/2021,2.0,CAT 12226.00,,
YT443658-815,9/7/2021,4.0,CAT 12226.00,,
YT443658-815,9/15/2021,2.0,CAT 12226.00,,
YT443658-815,9/22/2021,2.0,CAT 12226.00,,
YT443658-815,10/6/2021,4.0,CAT 12226.00,,
YT443658-815,10/13/2021,4.0,CAT 12226.00,,
YT443658-815,10/20/2021,2.0,CAT 12226.00,,
YT443658-815,11/3/2021,8.0,CAT 12226.00,,
YT443658-815,11/30/2021,4.0,CAT 12226.00,,
YT444105-811,3/15/2021,8.0,CAT 9510.00,,
