Item,Date,Qty,Customer,PC,Price,Extended Price,Org,Type
YT05627-144,26-AUG-20,3.0,CATERPILLAR INC,SF,301.00,903.00,LEX,SO
YT05627-144,01-SEP-20,5.0,CATERPILLAR INC,SF,301.00,"1,505.00",LEX,SO
YT05627-144,05-SEP-20,7.0,CATERPILLAR INC,SF,301.00,"2,107.00",LEX,SO
YT05627-144,14-SEP-20,2.0,CATERPILLAR INC,SF,301.00,602.00,LEX,SO
YT05627-144,25-SEP-20,6.0,CATERPILLAR INC,SF,301.00,"1,806.00",LEX,SO
YT05627-144,13-OCT-20,2.0,CATERPILLAR INC,SF,301.00,602.00,LEX,SO
YT05627-266,25-AUG-20,3.0,CATERPILLAR INC,SF,387.00,"1,161.00",LEX,SO
YT05627-266,11-SEP-20,2.0,CATERPILLAR INC,SF,387.00,774.00,LEX,SO
YT05627-266,30-SEP-20,1.0,CATERPILLAR INC,SF,387.00,387.00,LEX,SO
YT05627-76,11-SEP-20,2.0,CATERPILLAR INC,SF,254.00,508.00,LEX,SO
YT05627-76,28-SEP-20,2.0,CATERPILLAR INC,SF,254.00,508.00,LEX,SO
YT05627-76,27-OCT-20,3.0,CATERPILLAR INC,SF,254.00,762.00,LEX,SO
YT05629-23,25-AUG-20,4.0,CATERPILLAR INC,SF,72.00,288.00,LEX,SO
YT05629-53,01-SEP-20,12.0,CATERPILLAR INC,SF,72.00,864.00,LEX,SO
YT05629-53,11-SEP-20,8.0,CATERPILLAR INC,SF,72.00,576.00,LEX,SO
YT05629-53,28-SEP-20,9.0,CATERPILLAR INC,SF,72.00,648.00,LEX,SO
YT05633-49,28-AUG-20,2.0,FOLEY EQUIPMENT COMPANY,SF,120.00,240.00,LEX,SO
YT05634-03,22-SEP-20,2.0,CATERPILLAR INC,SF,542.00,"1,084.00",LEX,SO
YT05634-04,08-SEP-20,2.0,CATERPILLAR INC,SF,216.00,432.00,LEX,SO
YT065955-901,04-SEP-20,4.0,PROGRESS RAIL LOCOMOTIVE INC.,1,38.00,152.00,LEX,SO
YT07419,02-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,02-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,07-OCT-20,2.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","16,886.00",LEX,SO
YT07419,07-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,07-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,07-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,09-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,09-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07419,23-OCT-20,1.0,"WABTEC TRANSPORTATION SYSTEMS, LLC",10,"8,443.00","8,443.00",LEX,SO
YT07579-22,16-OCT-20,500.0,WABTEC BRASIL FABRICAÌO E MANUTENÌO DE EQUIPAMENTOS LTDA.,PP,0.36,180.00,LEX,SO
YT07712-31,06-NOV-20,1.0,CUMMINS ENGINE COMPANY,KU,288.00,288.00,LEX,SO
YT08218,15-SEP-20,63.0,CATERPILLAR INC,PC,16.00,"1,008.00",LEX,SO
YT098983-901,14-SEP-20,30.0,INNIO WAUKESHA GAS ENGINES INC,1,30.00,900.00,LEX,SO
YT143340-901,11-SEP-20,20.0,KOHLER CO,1,16.00,320.00,LEX,SO
YT146812-901,30-OCT-20,4.0,OCEAN SHIPS INC,1,"3,360.00","13,440.00",LEX,SO
YT170580-901,28-AUG-20,1.0,PROGRESS RAIL LOCOMOTIVE INC.,6,"1,007.00","1,068.00",LEX,SO
YT170580-901,28-AUG-20,1.0,PROGRESS RAIL LOCOMOTIVE INC.,6,"1,007.00","1,068.00",LEX,SO
YT170580-901,28-AUG-20,1.0,PROGRESS RAIL LOCOMOTIVE INC.,6,"1,007.00","1,068.00",LEX,SO
YT170580-901,28-AUG-20,1.0,PROGRESS RAIL LOCOMOTIVE INC.,6,"1,007.00","1,068.00",LEX,SO
YT170580-901,28-AUG-20,1.0,PROGRESS RAIL LOCOMOTIVE INC.,6,"1,007.00","1,068.00",LEX,SO
YT170580-901,04-SEP-20,2.0,PROGRESS RAIL LOCOMOTIVE INC.,6,"1,007.00","2,136.00",LEX,SO
YT184674-901,21-OCT-20,25.0,Joy Global Longview Operations LLC,1,120.00,"3,000.00",LEX,SO
YT184674-901,12-NOV-20,6.0,JOY GLOBAL SURFACE MINING INC,1,120.00,720.00,LEX,SO
