Item,Bucket,Date,End Date,Number of Buckets,Current,Original,Total,Confidence(%),Project Number,,Task Number,Line,Comment,Forecast,[  ]
YT231299,Days,7/7/2021,,1,7,7,7,100,,,,,PR 3870.00,LEX-FCST,.
YT231299,Days,8/6/2021,,1,6,6,6,100,,,,,PR 3870.00,LEX-FCST,.
YT231299,Days,9/7/2021,,1,7,7,7,100,,,,,PR 3870.00,LEX-FCST,.
YT231299,Days,10/7/2021,,1,6,6,6,100,,,,,PR 3870.00,LEX-FCST,.
YT231299,Days,11/5/2021,,1,1,1,1,100,,,,,PR 3870.00,LEX-FCST,.
YT271509-901,Days,6/15/2021,,1,1,1,1,100,,,,,CAT 1395.00,LEX-FCST,.
YT271509-901,Days,8/3/2021,,1,2,2,2,100,,,,,CAT 1395.00,LEX-FCST,.
YT271509-901,Days,10/5/2021,,1,2,2,2,100,,,,,CAT 1395.00,LEX-FCST,.
YT278633,Days,8/3/2021,,1,1,1,1,100,,,,,CAT 4147.00,LEX-FCST,.
YT278633,Days,10/19/2021,,1,1,1,1,100,,,,,CAT 4147.00,LEX-FCST,.
YT285721-901,Days,8/6/2021,,1,1,1,1,100,,,,,PR 2630.00,LEX-FCST,.
YT321540-816,Days,6/4/2021,,1,1,1,1,100,,,,,INN 60.00,LEX-FCST,.
YT321541-816,Days,6/4/2021,,1,1,1,1,100,,,,,INN 60.00,LEX-FCST,.
YT333089-901,Days,6/7/2021,,1,12,12,12,100,,,,,PR 1347.00,LEX-FCST,.
YT333089-901,Days,7/7/2021,,1,11,11,11,100,,,,,PR 1347.00,LEX-FCST,.
YT333089-901,Days,8/6/2021,,1,11,11,11,100,,,,,PR 1347.00,LEX-FCST,.
YT333089-901,Days,9/7/2021,,1,4,4,4,100,,,,,PR 1347.00,LEX-FCST,.
YT333089-901,Days,10/7/2021,,1,5,5,5,100,,,,,PR 1347.00,LEX-FCST,.
YT333089-901,Days,11/5/2021,,1,1,1,1,100,,,,,PR 1347.00,LEX-FCST,.
YT333095-901,Days,4/7/2021,,1,37,37,37,100,,,,,PR 19.00,LEX-FCST,.
YT333095-901,Days,5/7/2021,,1,37,37,37,100,,,,,PR 19.00,LEX-FCST,.
YT333095-901,Days,6/7/2021,,1,37,37,37,100,,,,,PR 19.00,LEX-FCST,.
YT333095-901,Days,7/7/2021,,1,37,37,37,100,,,,,PR 19.00,LEX-FCST,.
YT333095-901,Days,8/6/2021,,1,37,37,37,100,,,,,PR 19.00,LEX-FCST,.
YT333095-901,Days,9/7/2021,,1,13,13,13,100,,,,,PR 19.00,LEX-FCST,.
YT337656,Days,6/25/2021,,1,1,1,1,100,,,,,INN 7545.00,LEX-FCST,.
YT339920,Days,8/5/2021,,1,6,6,6,100,,,,,KOM 2205.00,LEX-FCST,.
YT339920,Days,9/3/2021,,1,9,9,9,100,,,,,KOM 2205.00,LEX-FCST,.
YT339920,Days,10/5/2021,,1,12,12,12,100,,,,,KOM 2205.00,LEX-FCST,.
YT339920,Days,11/1/2021,,1,22,22,22,100,,,,,KOM 2205.00,LEX-FCST,.
YT344109-816,Days,6/25/2021,,1,2,2,2,100,,,,,KOM 300.00,LEX-FCST,.
YT344114,Days,5/3/2021,,1,1,1,1,100,,,,,INN 1644.00,LEX-FCST,.
YT344114,Days,5/21/2021,,1,1,1,1,100,,,,,INN 1644.00,LEX-FCST,.
YT344114,Days,6/18/2021,,1,1,1,1,100,,,,,INN 1644.00,LEX-FCST,.
YT345267,Days,5/21/2021,,1,3,3,3,100,,,,,INN 1778.00,LEX-FCST,.
YT348551,Days,7/22/2021,,1,1,0,1,100,,,,,PR 6453.00,LEX-FCST,.
YT352170,Days,4/22/2021,,1,0,1,0,100,,,,,PR 5886.00,LEX-FCST,.
YT359582,Days,4/1/2021,,1,14,14,14,100,,,,,INN 1739.00,LEX-FCST,.
YT359582,Days,4/30/2021,,1,19,19,19,100,,,,,INN 1739.00,LEX-FCST,.
YT359582,Days,5/28/2021,,1,8,8,8,100,,,,,INN 1739.00,LEX-FCST,.
YT359582,Days,6/25/2021,,1,24,24,24,100,,,,,INN 1739.00,LEX-FCST,.
YT362676-001-811,Days,6/2/2021,,1,1,1,1,100,,,,,CAT 15111.00,LEX-FCST,.
YT362676-001-811,Days,7/7/2021,,1,1,1,1,100,,,,,CAT 15111.00,LEX-FCST,.
YT362801,Days,8/17/2021,,1,1,1,1,100,,,,,CAT 2805.00,LEX-FCST,.
YT362801,Days,10/19/2021,,1,1,1,1,100,,,,,CAT 2805.00,LEX-FCST,.
YT363522,Days,5/11/2021,,1,12,6,12,100,,,,,CAT 77.00,LEX-FCST,.
YT363522,Days,6/29/2021,,1,10,10,10,100,,,,,CAT 77.00,LEX-FCST,.
YT363522,Days,8/10/2021,,1,14,14,14,100,,,,,CAT 77.00,LEX-FCST,.
